,year,ceremony,award,id1,nom1,id2,nom2,id3,nom3,id4,nom4,nominated,winner
0,2000 Awards,Oscar,Best Actor in a Leading Role,nm0000228,,nm0000228,Kevin Spacey,tt0169547,American Beauty,,,1,1
1,2000 Awards,Oscar,Best Actor in a Leading Role,nm0000243,,nm0000243,Denzel Washington,tt0174856,The Hurricane,,,1,0
2,2000 Awards,Oscar,Best Actor in a Leading Role,nm0002070,,nm0002070,Richard Farnsworth,tt0166896,The Straight Story,,,1,0
3,2000 Awards,Oscar,Best Actor in a Leading Role,nm0000128,,nm0000128,Russell Crowe,tt0140352,The Insider,,,1,0
4,2000 Awards,Oscar,Best Actor in a Leading Role,nm0000576,,nm0000576,Sean Penn,tt0158371,Sweet and Lowdown,,,1,0
5,2000 Awards,Oscar,Best Actor in a Supporting Role,nm0000323,,nm0000323,Michael Caine,tt0124315,The Cider House Rules,,,1,1
6,2000 Awards,Oscar,Best Actor in a Supporting Role,nm0005286,,nm0005286,Haley Joel Osment,tt0167404,The Sixth Sense,,,1,0
7,2000 Awards,Oscar,Best Actor in a Supporting Role,nm0000179,,nm0000179,Jude Law,tt0134119,The Talented Mr. Ripley,,,1,0
8,2000 Awards,Oscar,Best Actor in a Supporting Role,nm0003817,,nm0003817,Michael Clarke Duncan,tt0120689,The Green Mile,,,1,0
9,2000 Awards,Oscar,Best Actor in a Supporting Role,nm0000129,,nm0000129,Tom Cruise,tt0175880,Magnolia,,,1,0
10,2000 Awards,Oscar,Best Actress in a Leading Role,nm0005476,,nm0005476,Hilary Swank,tt0171804,Boys Don't Cry,,,1,1
11,2000 Awards,Oscar,Best Actress in a Leading Role,nm0000906,,nm0000906,Annette Bening,tt0169547,American Beauty,,,1,0
12,2000 Awards,Oscar,Best Actress in a Leading Role,nm0005216,,nm0005216,Janet McTeer,tt0161023,Tumbleweeds,,,1,0
13,2000 Awards,Oscar,Best Actress in a Leading Role,nm0000194,,nm0000194,Julianne Moore,tt0172396,The End of the Affair,,,1,0
14,2000 Awards,Oscar,Best Actress in a Leading Role,nm0000658,,nm0000658,Meryl Streep,tt0166943,Music of the Heart,,,1,0
15,2000 Awards,Oscar,Best Actress in a Supporting Role,nm0001401,,nm0001401,Angelina Jolie,tt0172493,"Girl, Interrupted",,,1,1
16,2000 Awards,Oscar,Best Actress in a Supporting Role,nm0001416,,nm0001416,Catherine Keener,tt0120601,Being John Malkovich,,,1,0
17,2000 Awards,Oscar,Best Actress in a Supporting Role,nm0001721,,nm0001721,Chloë Sevigny,tt0171804,Boys Don't Cry,,,1,0
18,2000 Awards,Oscar,Best Actress in a Supporting Role,nm0608090,,nm0608090,Samantha Morton,tt0158371,Sweet and Lowdown,,,1,0
19,2000 Awards,Oscar,Best Actress in a Supporting Role,nm0001057,,nm0001057,Toni Collette,tt0167404,The Sixth Sense,,,1,0
20,2000 Awards,Oscar,Best Art Direction-Set Decoration,tt0162661,,tt0162661,Sleepy Hollow,nm0374511,Rick Heinrichs,nm0949952,Peter Young,1,1
21,2000 Awards,Oscar,Best Art Direction-Set Decoration,tt0166485,,tt0166485,Anna and the King,nm0002186,Luciana Arrighi,nm0926434,Ian Whittaker,1,0
